satisfaction_employee_environnement,note_evaluation_precedente,satisfaction_employee_nature_travail,satisfaction_employee_equipe,satisfaction_employee_equilibre_pro_perso,id_employee,note_evaluation_actuelle,heure_supplementaires,augementation_salaire_precedente,age,genre,revenu_mensuel,statut_marital,departement,poste,nombre_experiences_precedentes,annees_dans_l_entreprise,a_quitte_l_entreprise,nombre_participation_pee,nb_formations_suivies,distance_domicile_travail,niveau_education,domaine_etude,frequence_deplacement,annees_depuis_la_derniere_promotion
2,3,4,1,1,1,3,Oui,11%,41,F,5993,Célibataire,Commercial,Cadre Commercial,8,6,1,0,0,1,2,Infra & Cloud,Occasionnel,0
3,2,2,4,3,2,4,Non,23%,49,M,5130,Marié(e),Consulting,Assistant de Direction,1,10,0,1,3,8,1,Infra & Cloud,Frequent,1
4,2,3,2,3,4,3,Oui,15%,37,M,2090,Célibataire,Consulting,Consultant,6,0,1,0,3,2,2,Autre,Occasionnel,0
4,3,3,3,3,5,3,Oui,11%,33,F,2909,Marié(e),Consulting,Assistant de Direction,1,8,0,0,3,3,4,Infra & Cloud,Frequent,3
1,3,2,4,3,7,3,Non,12%,27,M,3468,Marié(e),Consulting,Consultant,9,2,0,1,3,2,1,Transformation Digitale,Occasionnel,2
4,3,4,3,2,8,3,Non,13%,32,M,3068,Célibataire,Consulting,Consultant,0,7,0,0,2,2,2,Infra & Cloud,Frequent,3
3,4,1,1,2,10,4,Oui,20%,59,F,2670,Marié(e),Consulting,Consultant,4,1,0,3,3,3,3,Transformation Digitale,Occasionnel,0
4,3,3,2,3,11,4,Non,22%,30,M,2693,Divorcé(e),Consulting,Consultant,1,1,0,1,2,24,1,Infra & Cloud,Occasionnel,0
4,2,3,2,3,12,4,Non,21%,38,M,9526,Célibataire,Consulting,Tech Lead,0,9,0,0,2,23,3,Infra & Cloud,Frequent,1
3,3,3,2,2,13,3,Non,13%,36,M,5237,Marié(e),Consulting,Manager,6,7,0,2,3,27,3,Transformation Digitale,Occasionnel,7
1,4,2,3,3,14,3,Non,13%,35,M,2426,Marié(e),Consulting,Consultant,0,5,0,1,5,16,3,Transformation Digitale,Occasionnel,0
4,2,3,4,3,15,3,Oui,12%,29,F,4193,Célibataire,Consulting,Consultant,0,9,0,0,3,15,2,Infra & Cloud,Occasionnel,0
1,3,3,4,2,16,3,Non,17%,31,M,2911,Divorcé(e),Consulting,Assistant de Direction,1,5,0,1,1,26,1,Infra & Cloud,Occasionnel,4
2,3,4,3,3,18,3,Non,11%,34,M,2661,Divorcé(e),Consulting,Consultant,0,2,0,1,2,19,2,Transformation Digitale,Occasionnel,1
3,2,3,2,3,19,3,Oui,14%,28,M,2028,Célibataire,Consulting,Consultant,5,4,1,0,4,24,3,Infra & Cloud,Occasionnel,0
2,4,1,3,3,20,3,Non,11%,29,F,9980,Divorcé(e),Consulting,Tech Lead,1,10,0,1,1,21,4,Infra & Cloud,Occasionnel,8
1,4,2,4,2,21,3,Oui,12%,32,M,3298,Divorcé(e),Consulting,Assistant de Direction,0,6,0,2,5,5,2,Infra & Cloud,Occasionnel,0
4,4,4,2,2,22,3,Oui,13%,22,M,2935,Divorcé(e),Consulting,Consultant,1,1,0,2,2,16,2,Transformation Digitale,Aucun,0
1,2,4,3,3,23,3,Non,16%,53,F,15427,Marié(e),Commercial,Senior Manager,2,25,0,0,3,2,4,Infra & Cloud,Occasionnel,3
4,3,4,3,3,24,3,Oui,11%,38,M,3944,Célibataire,Consulting,Assistant de Direction,5,3,0,0,3,2,3,Infra & Cloud,Occasionnel,1
1,4,3,4,2,26,3,Non,18%,24,F,4011,Divorcé(e),Consulting,Tech Lead,0,4,0,1,5,11,2,Autre,Aucun,1
3,2,1,2,3,27,4,Non,23%,36,M,3407,Célibataire,Commercial,Représentant Commercial,7,5,1,0,4,9,4,Infra & Cloud,Occasionnel,0
1,3,2,3,3,28,3,Non,11%,34,F,11994,Célibataire,Consulting,Directeur Technique,0,12,0,0,4,7,4,Infra & Cloud,Occasionnel,2
3,3,4,4,3,30,3,Non,14%,21,M,1232,Célibataire,Consulting,Assistant de Direction,1,0,0,0,6,15,2,Infra & Cloud,Occasionnel,0
2,3,1,3,3,31,3,Non,11%,34,M,2960,Célibataire,Consulting,Assistant de Direction,2,4,1,0,2,6,1,Transformation Digitale,Occasionnel,1
3,3,3,4,2,32,3,Non,11%,53,F,19094,Divorcé(e),Consulting,Senior Manager,4,14,0,1,3,5,3,Autre,Occasionnel,4
2,1,1,2,3,33,4,Oui,22%,32,F,3919,Célibataire,Consulting,Assistant de Direction,1,10,1,0,5,16,1,Infra & Cloud,Frequent,6
3,3,2,4,3,35,3,Non,11%,42,M,6825,Marié(e),Commercial,Cadre Commercial,0,9,0,1,2,8,4,Marketing,Occasionnel,4
1,2,4,4,3,36,3,Non,14%,44,F,10248,Marié(e),Consulting,Manager,3,22,0,1,4,7,4,Transformation Digitale,Occasionnel,5
2,3,1,4,2,38,3,Non,12%,46,F,18947,Célibataire,Commercial,Senior Manager,3,2,0,0,2,2,4,Marketing,Occasionnel,2
3,3,4,4,3,39,3,Non,11%,33,M,2496,Célibataire,Consulting,Consultant,4,1,0,0,3,2,3,Transformation Digitale,Occasionnel,0
4,3,4,4,4,40,3,Oui,13%,44,M,6465,Marié(e),Consulting,Manager,2,4,0,0,5,10,4,Autre,Occasionnel,1
4,2,3,1,3,41,3,Non,13%,30,M,2206,Célibataire,Consulting,Consultant,1,10,0,0,5,9,2,Transformation Digitale,Occasionnel,1
4,3,4,3,4,42,3,Non,14%,39,M,2086,Marié(e),Commercial,Représentant Commercial,3,1,1,1,6,5,3,Entrepreunariat,Occasionnel,0
2,3,4,1,2,45,3,Oui,16%,24,M,2293,Marié(e),Consulting,Assistant de Direction,2,2,1,1,2,1,3,Transformation Digitale,Occasionnel,2
4,4,3,4,2,46,3,Non,12%,43,F,2645,Divorcé(e),Consulting,Assistant de Direction,1,5,0,2,3,2,2,Transformation Digitale,Occasionnel,1
